country,latitude,longitude,year,currency_crisis,inflation_crisis,stock_market_crash,sovereign_domestic_debt_crisis,sovereign_external_debt_crisis,banking_crisis,inflation,inflation_pos
"Argentina",-34,-64,1800,0,0,0,0,0,0,-5.9669746,0
"Austria",47.3333,13.3333,1800,1,0,0,0,0,0,20.525637,20.52564
"Belgium",50.8333,4,1800,0,0,0,0,0,0,5.2478979,5.247898
"Brazil",-10,-55,1800,0,0,0,0,0,0,-5.1172618,0
"Chile",-30,-71,1800,0,0,0,0,0,0,-7.7226132,0
"China",35,105,1800,0,0,0,0,0,0,5,5
"Denmark",56,10,1800,0,1,0,0,0,0,48.306011,48.30601
"France",46,2,1800,0,0,0,0,0,0,.85470085,.8547009
"Germany",51,9,1800,0,0,0,0,0,0,-12.304251,0
"Italy",42.8333,12.8333,1800,0,1,0,0,0,0,27.038245,27.03824
"Korea",37,127.5,1800,0,0,0,0,0,0,-42.857143,0
"Mexico",23,-102,1800,0,0,0,0,0,0,.39576621,.3957662
"Netherlands",52.5,5.75,1800,0,0,0,0,0,0,12.583644,12.58364
"Norway",62,10,1800,0,1,0,0,0,0,31.515073,31.51507
"Peru",-10,-76,1800,0,0,0,0,0,0,-9.1476442,0
"Portugal",39.5,-8,1800,0,1,0,0,0,0,30.379747,30.37975
"Spain",40,-4,1800,0,0,0,0,0,0,-.9052771,0
"Sweden",62,15,1800,0,1,0,0,0,0,22.222222,22.22222
"United Kingdom",54,-2,1800,0,1,0,0,0,0,31.827309,31.82731
"United States",38,-97,1800,0,0,0,0,0,0,2.0222529,2.022253
"Argentina",-34,-64,1801,0,0,0,0,0,0,18.796596,18.7966
"Austria",47.3333,13.3333,1801,1,1,0,0,0,0,18.942731,18.94273
"Belgium",50.8333,4,1801,0,1,0,0,0,0,16.595705,16.59571
"Brazil",-10,-55,1801,0,0,0,0,0,0,6.5815657,6.581566
"Chile",-30,-71,1801,0,0,0,0,0,0,-10.415475,0
"China",35,105,1801,0,0,0,0,0,0,24.603175,24.60317
"France",46,2,1801,0,0,0,0,0,0,-11.016949,0
"Germany",51,9,1801,0,0,0,0,0,0,-7.0578231,0
"India",20,77,1801,0,0,0,0,0,0,-10.31186,0
"Italy",42.8333,12.8333,1801,0,0,0,0,0,0,17.523271,17.52327
"Korea",37,127.5,1801,0,0,0,0,0,0,9.0909091,9.090909
"Mexico",23,-102,1801,0,0,0,0,0,0,6.669079,6.669079
"Netherlands",52.5,5.75,1801,0,0,0,0,0,0,-.37318515,0
"Norway",62,10,1801,0,0,0,0,0,0,-7.8214203,0
"Peru",-10,-76,1801,0,0,0,0,0,0,8.0658847,8.065885
"Portugal",39.5,-8,1801,1,0,0,0,0,0,-5.8252427,0
"Spain",40,-4,1801,0,0,0,0,0,0,14.21875,14.21875
"Sweden",62,15,1801,0,0,0,0,0,0,10.451807,10.45181
"United Kingdom",54,-2,1801,0,0,0,0,0,0,3.960396,3.960396
"United States",38,-97,1801,0,0,0,0,0,0,1.3294061,1.329406
"Argentina",-34,-64,1802,0,0,0,0,0,0,-2.4607308,0
"Austria",47.3333,13.3333,1802,0,0,0,0,1,0,9.6296296,9.62963
"Belgium",50.8333,4,1802,0,1,0,0,0,0,4.1291337,4.129134
"Brazil",-10,-55,1802,0,0,0,0,0,0,5.6697095,5.66971
"Chile",-30,-71,1802,0,0,0,0,0,0,3.6258554,3.625855
"China",35,105,1802,0,0,0,0,0,0,27.388535,27.38853
"France",46,2,1802,0,0,0,0,0,1,-.95238095,0
"Germany",51,9,1802,0,1,0,0,0,0,46.477585,46.47758
"India",20,77,1802,0,1,0,0,0,0,29.568528,29.56853
"Italy",42.8333,12.8333,1802,0,0,0,0,0,0,-16.681159,0
"Korea",37,127.5,1802,0,0,0,0,0,0,-10.416667,0
"Mexico",23,-102,1802,0,0,0,0,0,0,-7.6456256,0
"Netherlands",52.5,5.75,1802,0,0,0,1,1,0,-2.8790944,0
"Norway",62,10,1802,0,0,0,0,0,0,17.257739,17.25774
"Peru",-10,-76,1802,0,0,0,0,0,0,2.1653085,2.165308
"Portugal",39.5,-8,1802,0,0,0,0,0,0,-4.1237113,0
"Romania",46,25,1802,0,0,0,0,0,0,-41.666667,0
"Spain",40,-4,1802,0,0,0,0,0,0,15.731874,15.73187
"Sweden",62,15,1802,0,0,0,0,0,0,-1.6089446,0
"Turkey",39,35,1802,0,0,0,0,0,0,-6.1733856,0
"United Kingdom",54,-2,1802,0,0,0,0,0,0,-24.688645,0
"United States",38,-97,1802,0,0,0,0,0,0,-15.688585,0
"Argentina",-34,-64,1803,0,1,0,0,0,0,22.593285,22.59328
"Austria",47.3333,13.3333,1803,0,0,0,0,1,0,4.0540541,4.054054
"Belgium",50.8333,4,1803,0,0,0,0,0,0,-11.226932,0
"Brazil",-10,-55,1803,0,0,0,0,0,0,-3.4326523,0
"Chile",-30,-71,1803,0,0,0,0,0,0,15.891234,15.89123
"China",35,105,1803,0,0,0,0,0,0,24,24
"France",46,2,1803,0,0,0,0,0,0,6.7307692,6.730769
"Germany",51,9,1803,0,0,0,0,0,0,3.6851968,3.685197
"India",20,77,1803,0,0,0,0,0,0,12.81097,12.81097
"Italy",42.8333,12.8333,1803,0,0,0,0,0,0,-8.3693679,0
"Korea",37,127.5,1803,0,0,0,0,0,0,2.3255814,2.325581
"Netherlands",52.5,5.75,1803,0,0,0,1,1,0,.98814786,.9881479
"Norway",62,10,1803,0,0,0,0,0,0,-9.0935967,0
"Peru",-10,-76,1803,0,0,0,0,0,0,.03757168,.0375717
"Portugal",39.5,-8,1803,0,0,0,0,0,0,8.6021505,8.602151
"Romania",46,25,1803,0,0,0,0,0,0,-4.7619048,0
"Spain",40,-4,1803,0,1,0,0,0,0,34.101655,34.10165
"Sweden",62,15,1803,0,0,0,0,0,0,-2.7716186,0
"Turkey",39,35,1803,0,1,0,0,0,0,20.830239,20.83024
"United Kingdom",54,-2,1803,0,0,0,0,0,0,-3.2101167,0
"United States",38,-97,1803,0,0,0,0,0,0,5.4230339,5.423034
"Argentina",-34,-64,1804,0,0,0,0,0,0,-2.5728313,0
"Austria",47.3333,13.3333,1804,1,0,0,0,1,0,-10.064935,0
"Belgium",50.8333,4,1804,0,0,0,0,0,0,13.816414,13.81641
"Brazil",-10,-55,1804,0,0,0,0,0,0,-1.2454308,0
"Chile",-30,-71,1804,0,0,0,0,0,0,-8.0646343,0
"China",35,105,1804,0,0,0,0,0,0,8.4677419,8.467742
"France",46,2,1804,0,0,0,0,0,0,-6.3063063,0
"Germany",51,9,1804,0,0,0,0,0,0,-9.939759,0
"India",20,77,1804,0,1,0,0,0,0,50.199687,50.19969
"Italy",42.8333,12.8333,1804,0,0,0,0,0,0,-3.1041306,0
"Korea",37,127.5,1804,0,1,0,0,0,0,31.818182,31.81818
"Netherlands",52.5,5.75,1804,0,0,0,1,1,0,-5.9238403,0
"Norway",62,10,1804,0,0,0,0,0,0,-12.230561,0
"Peru",-10,-76,1804,0,0,0,0,0,0,2.7466301,2.74663
"Portugal",39.5,-8,1804,0,0,0,0,0,0,13.861386,13.86139
"Romania",46,25,1804,0,1,0,0,0,0,82.5,82.5
"Spain",40,-4,1804,0,0,0,0,0,0,16.262671,16.26267
"Sweden",62,15,1804,0,0,0,0,0,0,-2.7651083,0
"Turkey",39,35,1804,0,0,0,0,0,0,16.056838,16.05684
"United Kingdom",54,-2,1804,0,0,0,0,0,0,7.0351759,7.035176
"United States",38,-97,1804,0,0,0,0,0,0,4.4193035,4.419303
"Argentina",-34,-64,1805,0,0,0,0,0,0,8.7390978,8.739098
"Austria",47.3333,13.3333,1805,0,1,0,0,1,0,33.574007,33.57401
"Belgium",50.8333,4,1805,0,1,0,0,0,0,-12.009182,0
"Brazil",-10,-55,1805,0,0,0,0,0,0,-12.759565,0
"Chile",-30,-71,1805,0,0,0,0,0,0,11.519349,11.51935
"China",35,105,1805,0,0,0,0,0,0,3.7174721,3.717472
"France",46,2,1805,0,0,0,0,0,1,9.6153846,9.615385
"Germany",51,9,1805,0,1,0,0,0,0,34.381271,34.38127
"India",20,77,1805,0,0,0,0,0,0,-28.65896,0
"Italy",42.8333,12.8333,1805,0,0,0,0,0,0,2.3746721,2.374672
"Korea",37,127.5,1805,0,0,0,0,0,0,-5.1724138,0
"Mexico",23,-102,1805,0,0,0,0,0,0,-8.4929265,0
"Netherlands",52.5,5.75,1805,0,0,0,1,1,0,7.9147776,7.914778
"Norway",62,10,1805,0,1,0,0,0,0,25.8453,25.8453
"Peru",-10,-76,1805,0,0,0,0,0,0,7.070487,7.070487
"Portugal",39.5,-8,1805,0,0,0,0,0,0,-14.782609,0
"Romania",46,25,1805,0,1,0,0,0,0,60.273973,60.27397
"Spain",40,-4,1805,0,0,0,0,0,0,-22.820318,0
"Sweden",62,15,1805,0,0,0,0,0,0,4.5734389,4.573439
"Turkey",39,35,1805,0,1,0,0,0,0,27.041429,27.04143
"United Kingdom",54,-2,1805,0,0,0,0,0,0,15.117371,15.11737
"United States",38,-97,1805,0,0,0,0,0,0,-.71102082,0
"Argentina",-34,-64,1806,0,0,0,0,0,0,-.02951796,0
"Austria",47.3333,13.3333,1806,0,0,0,0,1,0,-7.8378378,0
"Belgium",50.8333,4,1806,0,0,0,0,0,0,-1.2169163,0
